annopubblicazione,corso_codice,corso_descrizione,p_fuoriregione,p_laureatiincorso,p_esperienzaestero,p_soddisfatti,p_soddisfatti_italia,p_lavorano,p_lavorano_italia,p_studiano,p_studiano_italia
2018,0659,Giurisprudenza,0.65,0.35,0.19,0.89,0.87,0.26,0.23,0.42,0.42
2018,0660,Giurisprudenza,0.16,0.29,0.13,0.97,0.87,0.22,0.23,0.41,0.42
2018,0868,Economia e marketing nel sistema agro-industriale,0.51,0.56,0.12,0.84,0.9,0.35,0.37,0.56,0.56
2018,0869,Tecnologie agrarie,0.39,0.49,0.11,0.93,0.9,0.35,0.37,0.64,0.56
2018,0870,Scienze del territorio e dell'ambiente agro-forestale,0.44,0.37,0.22,0.89,0.9,0.24,0.37,0.72,0.56
2018,0871,Verde ornamentale e tutela del paesaggio,0.36,0.37,0.02,0.85,0.9,0.43,0.37,0.29,0.56
2018,0872,Viticoltura ed enologia,0.24,0.33,0.02,1,0.92,0.81,0.4,0.05,0.5
2018,0873,Tecnologie alimentari,0.2,0.35,0.06,0.92,0.92,0.39,0.4,0.49,0.5
2018,0875,Produzioni animali e controllo della fauna selvatica,0.42,0.38,0.05,0.88,0.87,0.47,0.41,0.33,0.44
2018,0876,Ortofrutticoltura internazionale,0.69,0.8,0.59,0.93,0.9,0.78,0.56,0.11,0.12
2018,0877,"Progettazione e gestione degli ecosistemi agro-territoriali, forestali e del paesaggio",0.59,0.68,0.19,1,0.89,0.6,0.47,0.16,0.14
2018,0878,Scienze e tecnologie agrarie,0.57,0.62,0.14,0.9,0.9,0.75,0.56,0.04,0.12
2018,0879,Scienze e tecnologie alimentari,0.67,0.79,0.08,0.92,0.92,0.45,0.58,0.21,0.09
2018,0881,Architettura,0.48,0.48,0.26,0.92,0.83,0.57,0.51,0.11,0.14
2018,0882,Chimica industriale,0.32,0.5,0.09,0.93,0.94,0.3,0.24,0.66,0.72
2018,0883,Chimica e tecnologie per l'ambiente e per i materiali,0.34,0.33,0.04,0.96,0.94,0.37,0.24,0.53,0.72
2018,0884,Chimica industriale,0.34,0.88,0.24,0.94,0.93,0.52,0.49,0.28,0.26
2018,0886,Beni culturali,0.42,0.52,0.06,0.94,0.88,0.4,0.34,0.57,0.55
2018,0887,"Ricerca, documentazione e tutela dei beni archeologici",,,0.13,0.63,0.89,0.59,0.4,0.05,0.22
2018,0888,"Cooperazione internazionale, tutela dei diritti umani e dei beni etno-culturali nel Mediterraneo e in eurasia",0.91,0.55,0.29,0.73,0.82,0.49,0.52,0.12,0.13
2018,0891,Economia aziendale,0.41,0.6,0.09,0.94,0.89,0.27,0.33,0.69,0.6
2018,0893,Economia e finanza,0.62,0.65,0.17,0.8,0.87,0.15,0.29,0.75,0.65
2018,0894,Economia e gestione delle imprese,0.47,0.74,0.17,0.9,0.89,0.24,0.33,0.69,0.6
2018,0895,Economia e marketing,0.62,0.73,0.45,0.87,0.89,0.35,0.33,0.59,0.6
2018,0897,Direzione aziendale,0.64,0.85,0.22,0.94,0.92,0.68,0.62,0.13,0.13
2018,0898,Economia,0.95,0.84,0.26,0.89,0.9,0.39,0.56,0.54,0.16
2018,0899,Economia e diritto,0.67,0.77,0.1,0.92,0.9,0.67,0.56,0.04,0.16
2018,0900,Economia e professione,0.46,0.68,0.04,0.95,0.92,0.56,0.62,0.26,0.13
2018,0901,"Finanza, intermediari e mercati",0.64,0.69,0.08,0.99,0.92,0.68,0.73,0.06,0.09
2018,0902,Innovation and organization of culture and the arts,0.83,0.97,0.36,0.81,0.81,0.64,0.57,0,0.14
